simple_name,source_book,source_period,category,chapter_start,chapter_end,confidence,notes
Adam,Genesis,Genesis,Person,2,5,0.99,"First man, gardener of Eden, and father at the dawn of the story."
Eve,Genesis,Genesis,Person,2,4,0.99,"First woman, mother of all living, and participant in the fall."
Cain,Genesis,Genesis,Person,4,4,1.00,First murderer and marked wanderer.
Abel,Genesis,Genesis,Person,4,4,1.00,Righteous brother whose blood cries from the ground.
Enoch,Genesis,Genesis,Person,5,5,0.94,The man who walked with God and was not.
Noah,Genesis,Genesis,Person,5,10,1.00,"Righteous survivor, ark-builder, and father of the post-flood world."
Shem,Genesis,Genesis,Person,9,11,0.93,Noah's son and ancestor of the line of promise.
Ham,Genesis,Genesis,Person,9,10,0.93,Noah's son tied to the post-flood shame scene.
Japheth,Genesis,Genesis,Person,9,10,0.93,Noah's son and forefather of many nations.
Nimrod,Genesis,Genesis,Person,10,10,0.97,Mighty hunter and emblematic early kingdom-builder.
Abraham,Genesis,Genesis,Person,12,25,1.00,"Central patriarch of promise, covenant, and testing."
Sarah,Genesis,Genesis,Person,12,23,0.99,Matriarch of promise and mother of Isaac.
Lot,Genesis,Genesis,Person,12,19,0.97,Abram's nephew whose choices lead into the Sodom judgment arc.
Hagar,Genesis,Genesis,Person,16,21,0.98,Sarah's servant who encounters God in the wilderness.
Ishmael,Genesis,Genesis,Person,16,25,0.99,"Abraham's son through Hagar, marked for wilderness destiny."
Isaac,Genesis,Genesis,Person,17,35,0.99,Promise child and patriarch bridging Abraham and Jacob.
Rebekah,Genesis,Genesis,Person,24,28,0.99,Isaac's bride and strategist in the blessing drama.
Jacob,Genesis,Genesis,Person,27,50,1.00,"Patriarch of struggle, exile, return, blessing, and descent into Egypt."
Esau,Genesis,Genesis,Person,27,36,0.99,Brother whose blessing is stolen and whose line becomes Edom.
Leah,Genesis,Genesis,Person,29,35,0.98,Elder wife of Jacob and mother of many tribes.
Rachel,Genesis,Genesis,Person,29,35,0.98,Beloved wife of Jacob and mother of Joseph and Benjamin.
Laban,Genesis,Genesis,Person,29,31,0.99,Jacob's father-in-law and chief manipulator of the exile arc.
Joseph,Genesis,Genesis,Person,37,50,1.00,"Dreamer, slave, prisoner, ruler, and reconciler of the family."
Judah,Genesis,Genesis,Person,37,50,0.99,Brother whose arc deepens from betrayal to leadership and blessing.
Tamar,Genesis,Genesis,Person,38,38,0.98,Judah's daughter-in-law whose bold reversal secures justice.
Benjamin,Genesis,Genesis,Person,35,49,0.99,Rachel's second son and focal point of Joseph's tests.
Melchizedek,Genesis,Genesis,Person,14,14,0.98,Priest-king of Salem who blesses Abram.
Potiphar,Genesis,Genesis,Person,39,41,0.97,Egyptian officer tied to Joseph's slavery and imprisonment.
Potiphar's Wife,Genesis,Genesis,Person,39,39,0.98,False accuser in Joseph's temptation narrative.
Eden,Genesis,Genesis,Place,2,3,0.99,Garden region where humanity begins.
The Garden,Genesis,Genesis,Place,2,3,0.96,First sacred dwelling place and scene of the fall.
Ararat,Genesis,Genesis,Place,8,8,0.95,Mountain region where the ark comes to rest.
Babel,Genesis,Genesis,Place,10,11,0.97,"City of ambition, confusion, and scattering."
Shinar,Genesis,Genesis,Place,10,11,0.95,Region tied to Babel and human empire-building.
Canaan,Genesis,Genesis,Place,12,50,0.99,"Promised land of patriarchal wandering, altars, and burial hope."
Egypt,Genesis,Genesis,Place,12,50,0.99,"Land of famine refuge, slavery, power, and final descent."
Bethel,Genesis,Genesis,Place,12,35,0.98,"Site of altar, vow, dream, and renewal."
Mamre,Genesis,Genesis,Place,13,35,0.96,Patriarchal dwelling place near Hebron.
Sodom,Genesis,Genesis,Place,13,19,0.98,City of grievous sin and fiery overthrow.
Gomorrah,Genesis,Genesis,Place,13,19,0.98,Companion city consumed in judgment.
Moriah,Genesis,Genesis,Place,22,22,0.98,Mountain of Abraham's great test.
Beersheba,Genesis,Genesis,Place,21,46,0.97,"Settlement of wells, covenant, and patriarchal worship."
Machpelah,Genesis,Genesis,Place,23,50,0.98,Burial cave and first purchased foothold in the promised land.
Goshen,Genesis,Genesis,Place,45,47,0.98,Chosen settlement for Jacob's household in Egypt.
Shechem,Genesis,Genesis,Place,33,34,0.94,City of Dinah's crisis and Simeon and Levi's revenge.
Peniel,Genesis,Genesis,Place,32,32,0.97,Place named for seeing God face to face.
Dothan,Genesis,Genesis,Place,37,37,0.93,"Field where Joseph is found, stripped, and sold."
Tree of Life,Genesis,Genesis,Item,2,3,0.98,Life-giving tree within the garden.
Tree of Forbidden Knowledge,Genesis,Genesis,Item,2,3,0.98,Forbidden tree whose fruit triggers the fall.
Fig Leaves Sewn Together,Genesis,Genesis,Item,3,3,0.92,First human attempt to cover shame.
Garments of Skin,Genesis,Genesis,Item,3,3,0.94,Garments God provides after the fall.
Coat of Many Colors,Genesis,Genesis,Item,37,37,0.99,Garment marking Joseph's favored status.
The Coat of Many Colors,Genesis,Genesis,Item,37,37,0.98,Favored robe of Joseph in its more title-like card-facing phrasing.
Ring of Authority,Genesis,Genesis,Item,41,41,0.96,Pharaoh's signet ring given to Joseph.
