simple_name,title,tribal_line,source,mtg_classification
Moses,Lawgiver of Sinai,Human Prophet Leader,Exodus,Legendary Creature
Aaron,High Priest of Israel,Human Priest,Exodus,Legendary Creature
Pharaoh,God-King of Egypt,Human Noble Tyrant,Exodus,Legendary Creature
Miriam the Prophetess,Singer of Deliverance,Human Prophet Bard,Exodus,Legendary Creature
Joshua,Faithful Commander,Human Warrior,Exodus,Legendary Creature
Bezalel,Spirit-Filled Artisan,Human Artificer,Exodus,Legendary Creature
Jethro,Wise Counselor of Midian,Human Advisor,Exodus,Legendary Creature

Angel of the LORD,Divine Messenger,Angel,Exodus,Legendary Creature
Angel Before Israel,Guide in the Wilderness,Angel,Exodus,Creature

Egypt,House of Bondage,—,Exodus,Land
Goshen,Sanctuary in Egypt,—,Exodus,Land
Sinai,Mountain of God,—,Exodus,Land
Red Sea,Waters of Deliverance,—,Exodus,Land
Tent of Meeting,Dwelling of Presence,—,Exodus,Land
Most Holy Place,Throne Beyond the Veil,—,Exodus,Land
Land Flowing with Milk and Honey,Promised Inheritance,—,Exodus,Land
Dry Path Through the Sea,Way Through the Deep,—,Exodus,Land

Ark of Bulrushes,Vessel of Preservation,—,Exodus,Artifact
Ark of the Covenant,Throne of the Invisible King,—,Exodus,Artifact
Mercy Seat,Seat of Atonement,—,Exodus,Artifact
Tablets of Testimony,Stone of the Covenant,—,Exodus,Artifact
Tablets Renewed,Restored Covenant,—,Exodus,Artifact
Golden Lampstand,Light of the Sanctuary,—,Exodus,Artifact
Bronze Altar,Altar of Sacrifice,—,Exodus,Artifact
Altar of Incense,Fragrant Offering,—,Exodus,Artifact
Tabernacle,Dwelling of God,—,Exodus,Artifact
Manna from Heaven,Bread of Angels,—,Exodus,Artifact

Ephod,Garment of the Priest,Cleric Relic,Exodus,Equipment
Breastplate of Judgment,Oracles of Light,Cleric Relic,Exodus,Equipment
Holy Crown,Holiness to the LORD,Cleric Relic,Exodus,Equipment
Holy Garments,Vestments of Glory,Cleric Relic,Exodus,Equipment

Pillar of Cloud,Guide by Day,Divine Presence,Exodus,Enchantment
Pillar of Fire,Guardian by Night,Divine Presence,Exodus,Enchantment
Presence of the LORD,Indwelling Glory,Divine Presence,Exodus,Enchantment
Israel in Bondage,Oppressed People,—,Exodus,Enchantment
Passover,Marked for Deliverance,Ritual,Exodus,Enchantment
Covenant Remembered,Faithful Promise,—,Exodus,Enchantment
YHWH Revealed,Name Above All Names,—,Exodus,Enchantment
Sabbath Provision,Rest and Sustenance,—,Exodus,Enchantment
Kingdom of Priests,Holy Nation,—,Exodus,Enchantment
Glory Filling the Tabernacle,Cloud of Majesty,Divine Presence,Exodus,Enchantment

Ten Plagues of Egypt,Judgment on the Gods,Saga,Exodus,Saga
Sinai Covenant,Binding of a People,Saga,Exodus,Saga
Tabernacle Construction,Pattern of Heaven,Saga,Exodus,Saga

The Ten Words,Law Written in Stone,Divine Law,Exodus,Enchantment
Judgments of Israel,Statutes and Ordinances,Divine Law,Exodus,Enchantment

The Burning Bush,Fire That Does Not Consume,Divine Encounter,Exodus,Sorcery
Divine Commission of Moses,Sent by the Name,Divine Calling,Exodus,Sorcery
Moses Confronts Pharaoh,Let My People Go,—,Exodus,Sorcery
Brickmaking Oppression,Crushed Under Burden,—,Exodus,Sorcery
Parting of the Red Sea,Waters Divided,—,Exodus,Sorcery

Overthrow of Egypt,Army Cast into the Sea,—,Exodus,Battle
Battle with Amalek,War in the Wilderness,—,Exodus,Battle

Rod to Serpent,Sign Before Pharaoh,Miracle,Exodus,Instant
Leprous Hand Sign,Sign of Power,Miracle,Exodus,Instant
Trumpet Blast at Sinai,Sound of Terror,Divine Manifestation,Exodus,Instant
Bitter Waters Made Sweet,Healing the Waters,Miracle,Exodus,Instant
Water from the Rock at Horeb,Provision from Stone,Miracle,Exodus,Instant

I AM THAT I AM,The Self-Existent One,Divine Name,Exodus,Enchantment
Thick Cloud on Sinai,Hidden Glory,Divine Presence,Exodus,Enchantment
Boundaries of Sinai,Do Not Draw Near,Divine Law,Exodus,Enchantment

Golden Calf,Idol of Rebellion,—,Exodus,Artifact
Wrath Against the Calf,Judgment of Fire,—,Exodus,Sorcery
Intercession of Moses,Blot Me Out Instead,—,Exodus,Instant
Moses Smashes the Tablets,Covenant Broken,—,Exodus,Sorcery
Moses' Radiant Face,Reflected Glory,Divine Presence,Exodus,Enchantment

Song of the Sea,Victory of the LORD,—,Exodus,Enchantment
Altar of Jehovah-nissi,The LORD My Banner,—,Exodus,Artifact
Jethro's Counsel,Burden Shared,—,Exodus,Sorcery
Judges over the People,Order Established,—,Exodus,Enchantment

Cloud and Fire Together,Unfailing Guide,Divine Presence,Exodus,Enchantment
Law Given in Thunder,Voice from the Mountain,Divine Law,Exodus,Sorcery
